sku,status
2125233,1
2009324,1
1517163,1
2877125,1
2877134,1
2416092,1
3108172,1
2264036,1
8280834,1
2740208,1
2584273,1
1230537,1
3168067,1
7997055,1
2009041,1
1988047,1
1686079,1
3770439,0
2602403,1
2126065,1
1162439,1
2303202,0
1126887,0
1260591,1
5876867,1
3425255,1
9755322,1
2061031,1
1432551,1
9132379,1
9604444,1
9770615,1
8735586,1
9695793,1
1092403,1
2417037,1
9775134,1
3271964,0
3271982,0
1125779,1
1831054,1
9894452,1
9414671,1
2847643,1
9557712,1
2138389,1
2355091,1
8993388,1
8427106,1
1649294,1
17240521,1
3108109,0
9439869,1
3042042,1
1114133,1
9826287,1
2541209,1
2307923,1
1271997,1
1272013,1
2845071,1
2738738,1
2969477,1
9809492,1
1243081,1
3410068,1
2481046,1
1806049,1
1473505,1
3179206,1
8699358,1
3844594,1
9714459,1
2022343,1
3004556,1
7003128,1
2390524,1
1945531,1
3562379,1
9927197,1
2204266,1
2204211,1
1519222,1
9307788,1
2863614,1
8539272,1
9270594,1
1303241,0
7662095,1
3230638,1
8744479,1
8586602,1
9302097,1
1222413,1
2381083,1
9947181,1
9944457,1
1535845,1
1535918,1
2658101,1
2776251,1
2802456,1
1805687,1
2883129,0
9225411,1
8783925,1
9737114,1
2244466,1
9828673,1
3566948,1
3519969,1
2146823,1
1159311,1
2701307,1
2254039,0
1800151,1
2562035,1
9667549,1
2634263,1
8791319,1
1750068,1
2047429,1
9321307,1
2138228,1
3411094,1
9319089,1
9857161,1
2620821,1
2954897,1
2944053,1
3216222,1
2944044,1
8054963,0
9755886,1
2842056,1
19025346,1
3293283,1
3698627,1
2908353,1
9637373,1
1260112,1
9773712,1
2387041,1
2677297,1
2842092,0
8959317,1
2390703,1
2971078,1
1240002,1
2475916,1
3548724,1
6940108,1
7642777,1
2749078,1
1149978,1
3215056,0
1685043,1
2817743,1
2978363,1
2138264,1
9175082,1
2356115,1
2945292,1
8719666,1
1255535,1
2930088,1
7653826,1
2538172,1
1049245,1
9825206,1
2363655,1
9609458,1
9783876,1
2078583,0
